LAI,NDVI,EVI,GNDVI,RENDVI,WDRVI,CI,NDRE,lai
2.367,0.5103168,1.115597619,0.50083184,0.39267096,0.65440158,2.089192,0.39267096,11.05869595
0.867,0.38516197,0.85428979,0.35072345,0.24394524,0.532489671,1.2528892,0.24394524,8.032953093
2.747,0.47847545,1.019947966,0.44112352,0.30065963,0.62433259,1.8572161,0.30065963,10.21940777
0.587,0.33872685,0.731187205,0.31109387,0.23802766,0.482223502,1.0244688,0.23802766,7.20652801
1.287,0.37227237,0.781881402,0.35204136,0.23575723,0.518539956,1.1896011,0.23575723,7.803976576
1.65,0.20973913,0.256328656,0.25863454,0.15912361,0.325488503,0.5308099,0.15912361,5.42047007
1.9,0.40679953,0.8939459,0.37227994,0.26744598,0.554933632,1.3715415,0.26744598,8.462237154
1.9,0.3098883,0.855777223,0.28155363,0.20599164,0.448938935,0.9023813,0.20599164,6.764815605
1.513,0.36715177,0.682192762,0.32555515,0.26056337,0.513342248,1.1603154,0.26056337,7.698021025
1.513,0.39698493,0.978095238,0.34901083,0.26064909,0.544827586,1.3166667,0.26064909,8.2637
1.667,0.34234425,0.8040735,0.33333334,0.22454672,0.486246513,1.0411047,0.22454672,7.266716763
2.56,0.41714287,0.924630364,0.37551355,0.2612215,0.565453137,1.4313725,0.2612215,8.678705882
1.53,0.41866285,0.868609126,0.37993392,0.27269784,0.566987847,1.4403445,0.27269784,8.711166052
0.997,0.17369153,0.321449109,0.19134931,0.12659019,0.27650789,0.4204036,0.12659019,5.021020179
1.91,0.35909447,0.812240437,0.33333334,0.2370464,0.504634962,1.1205846,0.2370464,7.554275274
0.937,0.40316084,0.783352338,0.38407457,0.24661005,0.551201119,1.3509865,0.24661005,8.387869159
3.45,0.5329687,1.18830072,0.47305652,0.3423886,0.674755707,2.2834775,0.3423886,11.76162176
0.4,0.48635408,1.019754007,0.44146588,0.31719506,0.63256576,1.893733,0.31719506,10.35152589
0.8,0.20807454,0.487121554,0.22125603,0.1462676,0.323281062,0.5254902,0.1462676,5.401223529
1.6,0.49270642,1.205158712,0.4388383,0.34281033,0.637825882,1.960435,0.34281033,10.59285397
2.777,0.5160558,1.224429357,0.46732447,0.3261816,0.6594422,2.142482,0.3261816,11.25150033
1.177,0.39276072,0.703142137,0.36772454,0.28871676,0.54041802,1.2939008,0.28871676,8.181333423
1.903,0.29307008,0.565721649,0.29206964,0.22913203,0.429796173,0.8291347,0.22913203,6.499809419
1.903,0.3537831,0.740602674,0.34664953,0.21944886,0.497676086,1.1074796,0.21944886,7.506861172
2.46,0.4188526,0.866591928,0.38258576,0.27717042,0.567179229,1.4414676,0.27717042,8.715230052
0.847,0.34967098,0.753697749,0.33797303,0.24548957,0.494338049,1.0753664,0.24548957,7.390675506
2.643,0.52509695,1.134232879,0.47448477,0.38459834,0.667279365,2.2310367,0.38459834,11.57189052
1.247,0.43509567,1.125299282,0.4064516,0.30803314,0.583399994,1.5404224,0.30803314,9.073248361
1.997,0.40854833,0.771636364,0.37546778,0.27095896,0.556721587,1.3815104,0.27095896,8.498304688
1.36,0.2553366,0.436298932,0.2532787,0.14334536,0.384021732,0.6857773,0.14334536,5.981142227
1.348,0.36760506,0.734610681,0.35196376,0.27014396,0.513829484,1.1625806,0.27014396,7.706216774
1.05,0.278243,0.525260825,0.28717762,0.19269739,0.411963327,0.77181464,0.19269739,6.292425402
1.3,0.36767378,0.77677029,0.35074016,0.22390425,0.513052335,1.1729116,0.22390425,7.74359426
1.62,0.43394786,1.01724737,0.38525602,0.3014736,0.5818835,1.5402777,0.3014736,9.072724971
2.567,0.3884065,0.818230298,0.36951232,0.25859973,0.534864369,1.2840375,0.25859973,8.145647458
2.043,0.2616949,0.463642909,0.25783536,0.15368494,0.391898066,0.70890725,0.15368494,6.064826446
0.917,0.53489226,1.179935012,0.47880077,0.39639792,0.676478122,2.300079,0.39639792,11.82168646
2.62,0.47262135,1.096941835,0.43473327,0.37975132,0.61968532,1.7923417,0.37975132,9.984692194
0.53,0.14048088,0.264664475,0.19489568,0.10333706,0.228947124,0.32729766,0.10333706,4.684162918
1.81,0.39591837,1.008506616,0.38410595,0.30485567,0.543721973,1.3108108,0.30485567,8.242513514
1.81,0.3910931,0.836091411,0.36729008,0.27077842,0.538701762,1.2845745,0.27077842,8.147590426
1.423,0.45563072,1.083897667,0.4069231,0.30686578,0.603457363,1.6739767,0.30686578,9.556447368
1.923,0.3285968,0.819944598,0.3105563,0.21334147,0.470857725,0.978836,0.21334147,7.041428571
0.637,0.3996489,0.933669186,0.36633664,0.25400212,0.547582779,1.3313841,0.25400212,8.316947368
1.137,0.42887074,1.01443299,0.37889203,0.28899893,0.577221329,1.5018342,0.28899893,8.933636097
1.637,0.38470376,0.951192539,0.3457202,0.26155713,0.531313131,1.2596011,0.26155713,8.057236824
